消费者洞察实习生 | SHEIN | 广州
产品经理 | Pudu Robotics | 深圳
软件产品经理 | EcoFlow | 深圳
AI产品经理 | OPPO | 深圳
2027实习计划-用户研究方向 | Lenovo | 深圳
AI产品经理（2027/2028届校招） | 字节跳动 | 深圳
2027校园招聘-产品类（含AI产品经理） | 腾讯 | 深圳
2027届转正实习-产品经理 | 美团 | 深圳
2027“拓疆者”校园招聘-软件产品经理 | 大疆创新（DJI） | 深圳
2027届全球校园招聘-产品运营类/市场与用户研究 | vivo | 东莞
2027校园招聘-产品方向 | 京东 | 深圳
2027届校园招聘-产品类/用户体验类 | 网易游戏（互娱） | 广州
2027秋季校园招聘-产品经理/策略产品经理 | Shopee（深圳虾皮） | 深圳
2027校园招聘-XPEP产品星计划（产品经理） | 迅雷 | 深圳
2027届秋招-产品设计类/战略管理类 | 荣耀终端 | 深圳
产品策划实习生（2027届） | 万兴科技 | 深圳
AI产品经理实习（27届） | 广州链股科技 | 广州
2027届全球校园招聘（产品类方向） | 小米集团 | 深圳（多城市可选）
2027届校园招聘（商科/创意/设计/研发/制造） | ZURU | 广州/深圳/东莞
